Måndag,Tisdag,Onsdag,Torsdag,Fredag
08:10-09:30: Ma2a/2b EE22/ES22/ES23 (6),08:10-09:30: Ma2a/2b EE22/ES22/ES23 (6),08:10-09:35: Sv2 EE23/ES23/TE23 (1),08:10-09:30: Digiskap2 ES23 (13),08:10-09:30: Eng6 ES23/TE23 (16)
09:35-11:00: Graf kom1 ES23 (13),10:00-11:00: Idrott 1 ES23/TE23,09:40-11:00: Graf kom1 ES23 (13),09:40-11:00: Eng6 ES23/TE23 (16),09:40-11:00: Hi1b ES23 (10)
12:00-13:30: Webbutveck1 ES23/TE23 (11),12:00-13:35: Medier komsam ES23 (13),12:00-13:20: Hi1b ES23 (10),12:00-13:30: Sv2 EE23/ES23/TE23 (1),12:00-13:30: Sv2 EE23/ES23/TE23 (1)
13:35-14:55: Medier komsam ES23 (13),14:10-17:00: Japanska 1 (16),13:25-14:45: Ma2a/2b EE22/ES22/ES23 (6),13:35-15:05: Webbutveck1 ES23/TE23 (11),13:35-14:05: Mentorstid ES23/TE23 (1)
15:00-16:55: Idrott spec 1 EE23/ES23,,14:55-16:15: Ani1 ES23 (13),15:10-16:45: Ani1 ES23 (13),14:10-15:15: Re1 ES23/TE23 (10)
,,,,15:20-16:40: Digiskap2 ES23 (13)
