Måndag,Tisdag,Onsdag,Torsdag,Fredag
09:40-11:00: Eng5 ES24/TE24 (16),09:35-10:55: Ma2c TE24 (6),08:10-09:30: Ke1 TE24 (4),08:10-09:35: Ma2c TE24 (6),08:10-09:25: Ma1c TE24 (6)
12:00-13:25: Samh1b ES24/TE24 (10),09:40-11:00: Ma1c TE24 (6),09:40-11:00: Ma2c TE24 (6),09:45-11:00: Ma1c TE24 (6),08:10-09:25: Ma2c TE24 (6)
13:25-15:00: Ma2c TE24 (6),09:40-11:00: Ma1c TE24 (6),09:40-11:00: Sv1 ES24/TE24 (1),12:00-13:20: Eng5 ES24/TE24 (16),08:10-09:35: Ma2c TE24 (6)
13:30-14:50: Ma1c TE24 (6),12:00-13:00: Idrott 1 ES24/TE24,13:25-14:45: Tek1 TE24 (4),13:35-14:55: Sv1 ES24/TE24 (1),08:10-09:35: Samh1b ES24/TE24 (10)
13:30-14:50: Ma1c TE24 (6),13:30-14:50: Tek1 TE24 (4),14:55-16:15: Ma1c TE24 (6),15:00-16:00: Mentorstid TE24 (1),09:40-11:00: Sv1 ES24/TE24 (1)
13:30-14:55: Ma2c TE24 (6),,14:55-16:35: Ma2c TE24 (6),,12:00-13:20: Tek1 TE24 (6)
,,14:55-16:15: Ma1c TE24 (6),,13:30-14:50: Ke1 TE24 (4)
