Måndag,Tisdag,Onsdag,Torsdag,Fredag
08:10-09:30: Eng7 EE22/ES22/TE22 (16),08:10-09:30: Eng7 EE22/ES22/TE22 (16),09:35-11:00: Re1 EE22/TE22 (16),08:10-09:40: Webbutveck2 TE22 (11),08:35-09:35: Mentorstid TE22 (1)
09:40-11:00: Ma4 TE22 (6),09:40-11:00: Prog2 TE22 (11),12:00-13:20: Sv3 EE22/ES22/TE22 (1),09:45-11:00: Tillprog ES22/TE22 (11),12:00-14:00: Gymarb TE22 (10)
12:00-13:20: Sv3 EE22/ES22/TE22 (1),12:00-13:00: Webbutveck2 TE22 (11),13:25-14:45: Eng7 EE22/ES22/TE22 (16),12:00-13:30: Tillprog ES22/TE22 (11),14:20-15:40: Sv3 EE22/ES22/TE22 (1)
13:35-14:55: Hi1a1 EE23/TE22/TE23 (10),13:05-15:05: Gymarb TE22 (10),15:30-17:00: Webbservprog1 EE23/TE22 (11),13:35-14:55: Ma4 TE22 (6),
15:10-17:00: Idrott spec 2 EE22/ES22/TE22 (E-sport),15:10-17:00: Idrott spec 2 EE22/ES22/TE22 (E-sport),,15:35-17:00: Webbservprog1 EE23/TE22 (11),
