Måndag,Tisdag,Onsdag,Torsdag,Fredag
08:10-09:30: Digiskap1 ES24 (13),08:10-09:30: Digiskap1 ES24 (13),08:10-09:30: Ma1b ES24 (6),08:10-09:30: Ma1b ES24 (6),08:10-09:35: Samh1b ES24/TE24 (10)
09:40-11:00: Eng5 ES24/TE24 (16),09:40-11:00: Medieprod1 ES24 (13),09:40-11:00: Sv1 ES24/TE24 (1),09:45-10:45: Mentorstid ES24 (1),09:40-11:00: Sv1 ES24/TE24 (1)
12:00-13:25: Samh1b ES24/TE24 (10),12:00-13:00: Idrott 1 ES24/TE24,12:00-13:20: Digiskap1 ES24 (13),12:00-13:20: Eng5 ES24/TE24 (16),
,,13:30-14:50: Medieprod1 ES24 (13),13:35-14:55: Sv1 ES24/TE24 (1),
