Måndag,Tisdag,Onsdag,Torsdag,Fredag
09:35-11:00: Prog1 EE24/TE23 (11),10:00-11:00: Idrott 1 ES23/TE23,08:10-09:35: Sv2 EE23/ES23/TE23 (1),09:40-11:00: Eng6 ES23/TE23 (16),08:10-09:30: Eng6 ES23/TE23 (16)
12:00-13:30: Webbutveck1 ES23/TE23 (11),12:00-14:00: Dator o nätverkstek EE23/TE23 (8),09:40-11:00: Prog1 EE24/TE23 (11),12:00-13:30: Sv2 EE23/ES23/TE23 (1),09:40-11:00: Ma3c TE23 (6)
13:35-14:55: Hi1a1 EE23/TE22/TE23 (10),14:10-17:00: Japanska 1 (16),12:00-13:20: Ma3c TE23 (6),13:35-15:05: Webbutveck1 ES23/TE23 (11),12:00-13:30: Sv2 EE23/ES23/TE23 (1)
,,,,13:35-14:05: Mentorstid ES23/TE23 (1)
,,,,14:10-15:15: Re1 ES23/TE23 (10)
