Måndag,Tisdag,Onsdag,Torsdag,Fredag
08:10-09:30: Ma2a/2b EE22/ES22/ES23 (6),08:10-09:30: Eng7 EE22/ES22/TE22 (16),08:10-09:30: Medieprod2 ES22 (14),08:10-09:30: Kultur Hi2b ES22 (10),09:40-11:00: Ani2 ES22 (14)
08:10-09:30: Eng7 EE22/ES22/TE22 (16),08:10-09:30: Ma2a/2b EE22/ES22/ES23 (6),09:40-11:00: Gymarb ES22 (14),09:45-11:00: Tillprog ES22/TE22 (11),12:00-13:25: Nk1b ES22 (4)
09:40-11:00: Kultur Hi2b ES22 (10),09:45-11:00: Nk1b ES22 (4),12:00-13:20: Sv3 EE22/ES22/TE22 (1),12:00-13:30: Tillprog ES22/TE22 (11),14:20-15:40: Sv3 EE22/ES22/TE22 (1)
12:00-13:20: Sv3 EE22/ES22/TE22 (1),12:00-13:20: Gymarb ES22 (14),13:25-14:45: Eng7 EE22/ES22/TE22 (16),13:40-15:00: Ani2 ES22 (14),
13:30-14:50: Medieprod2 ES22 (14),15:10-17:00: Idrott spec 2 EE22/ES22/TE22 (E-sport),13:25-14:45: Ma2a/2b EE22/ES22/ES23 (6),15:05-16:05: Mentorstid ES22 (16),
15:10-17:00: Idrott spec 2 EE22/ES22/TE22 (E-sport),,14:55-16:15: Konstart sam ES22 (14),,
